Time,Unsubtracted Weight,Baseline Weight,Program Temperature,Sample Temperature,Approx. Gas Flow,R25 Diagnostic Signal, 
0.000000,9.077762,0.000000,50.000000,50.950000,40.200000,0.000000, 
0.016667,9.076657,0.000000,50.000000,50.960000,40.200000,0.000000, 
0.033333,9.076215,0.000000,50.000000,50.960000,40.200000,0.000000, 
0.050000,9.075332,0.000000,50.000000,50.970000,40.200000,0.000000, 
0.066667,9.074669,0.000000,50.000000,50.980000,40.200000,0.000000, 
0.083333,9.073564,0.000000,50.000000,50.980000,40.200000,0.000000, 
0.100000,9.072901,0.000000,50.000000,50.990000,40.200000,0.000000, 
0.116667,9.072239,0.000000,50.000000,51.000000,40.200000,0.000000, 
0.133333,9.071576,0.000000,50.000000,51.000000,40.200000,0.000000, 
0.150000,9.070913,0.000000,50.000000,51.010000,40.200000,0.000000, 
0.166667,9.070250,0.000000,50.000000,51.020000,40.200000,0.000000, 
0.183333,9.069367,0.000000,50.000000,51.030000,40.200000,0.000000, 
0.200000,9.068483,0.000000,50.000000,51.040000,40.200000,0.000000, 
0.216667,9.067599,0.000000,50.000000,51.040000,40.200000,0.000000, 
0.233333,9.066936,0.000000,50.000000,51.050000,40.200000,0.000000, 
0.250000,9.066273,0.000000,50.000000,51.060000,40.200000,0.000000, 
0.266667,9.065832,0.000000,50.000000,51.070000,40.200000,0.000000, 
0.283333,9.065390,0.000000,50.000000,51.080000,40.200000,0.000000, 
0.300000,9.064727,0.000000,50.000000,51.090000,40.200000,0.000000, 
0.316667,9.064064,0.000000,50.000000,51.090000,40.200000,0.000000, 
0.333333,9.063401,0.000000,50.000000,51.100000,40.200000,0.000000, 
0.350000,9.062959,0.000000,50.000000,51.110000,40.200000,0.000000, 
0.366667,9.062297,0.000000,50.000000,51.120000,40.200000,0.000000, 
0.383333,9.061855,0.000000,50.000000,51.130000,40.200000,0.000000, 
0.400000,9.061192,0.000000,50.000000,51.140000,40.200000,0.000000, 
0.416667,9.060529,0.000000,50.000000,51.150000,40.100000,0.000000, 
0.433333,9.059866,0.000000,50.000000,51.160000,40.100000,0.000000, 
0.450000,9.059204,0.000000,50.000000,51.170000,40.200000,0.000000, 
0.466667,9.058762,0.000000,50.000000,51.180000,40.200000,0.000000, 
0.483333,9.058320,0.000000,50.000000,51.190000,40.200000,0.000000, 
0.500000,9.057657,0.000000,50.000000,51.200000,40.200000,0.000000, 
0.516667,9.056994,0.000000,50.000000,51.210000,40.200000,0.000000, 
0.533333,9.055890,0.000000,50.000000,51.220000,40.200000,0.000000, 
0.550000,9.055227,0.000000,50.000000,51.230000,40.200000,0.000000, 
0.566667,9.054564,0.000000,50.000000,51.230000,40.200000,0.000000, 
0.583333,9.054122,0.000000,50.000000,51.240000,40.200000,0.000000, 
0.600000,9.053680,0.000000,50.000000,51.250000,40.200000,0.000000, 
0.616667,9.053238,0.000000,50.000000,51.260000,40.200000,0.000000, 
0.633333,9.052796,0.000000,50.000000,51.270000,40.200000,0.000000, 
0.650000,9.052576,0.000000,50.000000,51.280000,40.300000,0.000000, 
0.666667,9.052355,0.000000,50.000000,51.290000,40.300000,0.000000, 
0.683333,9.051913,0.000000,50.000000,51.300000,40.200000,0.000000, 
0.700000,9.051692,0.000000,50.000000,51.310000,40.200000,0.000000, 
0.716667,9.051250,0.000000,50.000000,51.320000,40.200000,0.000000, 
0.733333,9.051029,0.000000,50.000000,51.330000,40.200000,0.000000, 
0.750000,9.050587,0.000000,50.000000,51.340000,40.200000,0.000000, 
0.766667,9.049703,0.000000,50.000000,51.350000,40.200000,0.000000, 
0.783333,9.049262,0.000000,50.000000,51.360000,40.200000,0.000000, 
0.800000,9.048820,0.000000,50.000000,51.370000,40.200000,0.000000, 
0.816667,9.048157,0.000000,50.000000,51.380000,40.200000,0.000000, 
0.833333,9.047715,0.000000,50.000000,51.390000,40.200000,0.000000, 
0.850000,9.047494,0.000000,50.000000,51.400000,40.200000,0.000000, 
0.866667,9.047052,0.000000,50.000000,51.410000,40.200000,0.000000, 
0.883333,9.046610,0.000000,50.000000,51.410000,40.200000,0.000000, 
0.900000,9.045948,0.000000,50.000000,51.420000,40.200000,0.000000, 
0.916667,9.045727,0.000000,50.000000,51.430000,40.200000,0.000000, 
0.933333,9.045285,0.000000,50.000000,51.440000,40.200000,0.000000, 
0.950000,9.044401,0.000000,50.000000,51.450000,40.200000,0.000000, 
0.966667,9.043959,0.000000,50.000000,51.460000,40.200000,0.000000, 
0.983333,9.043517,0.000000,50.000000,51.470000,40.200000,0.000000, 
1.000000,9.043296,0.000000,50.000000,51.480000,40.200000,0.000000, 
1.016667,9.043075,0.000000,50.000000,51.490000,40.200000,0.000000, 
1.033333,9.042854,0.000000,50.000000,51.500000,40.200000,0.000000, 
1.050000,9.042413,0.000000,50.000000,51.510000,40.200000,0.000000, 
1.066667,9.042192,0.000000,50.000000,51.510000,40.200000,0.000000, 
1.083333,9.041971,0.000000,50.000000,51.520000,40.200000,0.000000, 
1.100000,9.041750,0.000000,50.000000,51.530000,40.200000,0.000000, 
1.116667,9.041529,0.000000,50.000000,51.540000,40.200000,0.000000, 
1.133333,9.041308,0.000000,50.000000,51.550000,40.200000,0.000000, 
1.150000,9.041087,0.000000,50.000000,51.560000,40.200000,0.000000, 
1.166667,9.040645,0.000000,50.000000,51.570000,40.200000,0.000000, 
1.183333,9.039982,0.000000,50.000000,51.570000,40.200000,0.000000, 
1.200000,9.039320,0.000000,50.000000,51.580000,40.200000,0.000000, 
1.216667,9.039099,0.000000,50.000000,51.590000,40.200000,0.000000, 
1.233333,9.038657,0.000000,50.000000,51.600000,40.200000,0.000000, 
1.250000,9.038436,0.000000,50.000000,51.610000,40.200000,0.000000, 
1.266667,9.038436,0.000000,50.000000,51.620000,40.200000,0.000000, 
