Time,Unsubtracted Weight,Baseline Weight,Program Temperature,Sample Temperature,Approx. Gas Flow,R25 Diagnostic Signal, 
0.000000,6.153670,0.000000,50.000000,52.300000,40.200000,0.000000, 
0.016667,6.159635,0.000000,50.000000,52.310000,40.200000,0.000000, 
0.033333,6.158088,0.000000,50.000000,52.310000,40.200000,0.000000, 
0.050000,6.136437,0.000000,50.000000,52.310000,40.100000,0.000000, 
0.066667,6.134006,0.000000,50.000000,52.320000,40.100000,0.000000, 
0.083333,6.133344,0.000000,50.000000,52.320000,40.200000,0.000000, 
0.100000,6.132239,0.000000,50.000000,52.330000,40.200000,0.000000, 
0.116667,6.133123,0.000000,50.000000,52.330000,40.200000,0.000000, 
0.133333,6.132902,0.000000,50.000000,52.330000,40.200000,0.000000, 
0.150000,6.132239,0.000000,50.000000,52.340000,40.200000,0.000000, 
0.166667,6.131134,0.000000,50.000000,52.340000,40.200000,0.000000, 
0.183333,6.130471,0.000000,50.000000,52.350000,40.200000,0.000000, 
0.200000,6.130030,0.000000,50.000000,52.350000,40.200000,0.000000, 
0.216667,6.129588,0.000000,50.000000,52.350000,40.300000,0.000000, 
0.233333,6.129146,0.000000,50.000000,52.360000,40.300000,0.000000, 
0.250000,6.128704,0.000000,50.000000,52.360000,40.200000,0.000000, 
0.266667,6.128483,0.000000,50.000000,52.360000,40.200000,0.000000, 
0.283333,6.128262,0.000000,50.000000,52.370000,40.200000,0.000000, 
0.300000,6.128041,0.000000,50.000000,52.370000,40.200000,0.000000, 
0.316667,6.127599,0.000000,50.000000,52.380000,40.200000,0.000000, 
0.333333,6.127157,0.000000,50.000000,52.380000,40.200000,0.000000, 
0.350000,6.126937,0.000000,50.000000,52.380000,40.200000,0.000000, 
0.366667,6.126716,0.000000,50.000000,52.390000,40.200000,0.000000, 
0.383333,6.126495,0.000000,50.000000,52.390000,40.200000,0.000000, 
0.400000,6.126053,0.000000,50.000000,52.390000,40.200000,0.000000, 
0.416667,6.125611,0.000000,50.000000,52.400000,40.300000,0.000000, 
0.433333,6.125390,0.000000,50.000000,52.400000,40.300000,0.000000, 
0.450000,6.124948,0.000000,50.000000,52.400000,40.200000,0.000000, 
0.466667,6.124506,0.000000,50.000000,52.410000,40.200000,0.000000, 
0.483333,6.124064,0.000000,50.000000,52.410000,40.200000,0.000000, 
0.500000,6.123623,0.000000,50.000000,52.410000,40.200000,0.000000, 
0.516667,6.123181,0.000000,50.000000,52.420000,40.200000,0.000000, 
0.533333,6.122960,0.000000,50.000000,52.420000,40.200000,0.000000, 
0.550000,6.122518,0.000000,50.000000,52.420000,40.200000,0.000000, 
0.566667,6.122297,0.000000,50.000000,52.430000,40.200000,0.000000, 
0.583333,6.122076,0.000000,50.000000,52.430000,40.200000,0.000000, 
0.600000,6.121855,0.000000,50.000000,52.430000,40.200000,0.000000, 
0.616667,6.121634,0.000000,50.000000,52.440000,40.200000,0.000000, 
0.633333,6.121192,0.000000,50.000000,52.440000,40.200000,0.000000, 
0.650000,6.120971,0.000000,50.000000,52.440000,40.200000,0.000000, 
0.666667,6.120750,0.000000,50.000000,52.440000,40.200000,0.000000, 
0.683333,6.120529,0.000000,50.000000,52.450000,40.200000,0.000000, 
0.700000,6.120309,0.000000,50.000000,52.450000,40.200000,0.000000, 
